aa_8mhz_2,aa_8mhz_4
0.27,0.00
0.60,0.20
2.20,0.07
2.60,0.00
2.87,-0.40
3.60,0.20
4.00,0.20
4.00,0.07
3.60,0.07
2.80,0.00
2.80,0.00
2.80,0.67
3.20,3.87
3.80,4.27
4.20,3.20
3.80,3.60
3.00,3.60
2.80,3.53
2.80,3.13
3.27,3.47
3.67,3.60
3.87,3.53
3.87,1.13
3.40,-0.87
1.80,0.20
-0.67,0.40
-0.40,0.13
-0.53,-0.40
-0.40,-0.13
0.53,0.40
0.53,0.00
0.67,0.07
0.00,0.60
-0.33,4.60
-0.33,4.20
0.00,2.87
0.40,3.53
0.40,3.60
0.40,3.60
0.07,3.00
-0.20,3.40
-0.20,3.53
0.07,3.40
0.40,0.07
0.40,-1.00
1.60,0.33
2.93,-0.07
3.47,-0.20
4.00,0.07
4.20,0.20
3.53,0.07
3.07,-0.27
2.67,0.00
2.93,1.33
3.33,4.40
3.60,3.80
4.27,3.00
3.67,3.60
3.27,3.60
2.80,3.53
2.80,3.13
3.27,3.60
3.67,3.60
4.00,3.00
3.87,-0.07
3.20,-0.67
0.67,0.40
-0.40,0.00
-0.40,0.00
-0.53,-0.40
-0.13,0.00
0.53,0.13
0.80,0.00
0.60,0.20
-0.20,2.07
-0.53,4.47
-0.53,3.40
0.27,3.20
0.40,3.60
0.40,3.73
0.40,3.73
-0.27,3.13
-0.40,3.53
-0.20,3.40
0.07,2.73
0.40,-0.73
0.40,-0.60
2.53,0.47
2.93,-0.20
3.80,0.07
4.20,0.07
3.80,0.20
3.40,0.07
3.00,0.00
2.60,0.00
2.93,2.73
3.33,4.60
4.00,3.27
4.13,3.27
3.33,3.60
2.93,3.60
2.80,3.40
3.07,3.27
3.27,3.60
3.67,3.47
4.00,2.13
3.60,-0.80
2.60,-0.20
-0.20,0.33
-0.53,0.00
-0.53,-0.27
-0.60,-0.27
0.20,0.40
0.80,0.00
0.80,0.13
0.20,0.53
-0.33,3.20
-0.53,4.27
-0.40,2.93
0.40,3.47
0.40,3.47
0.40,3.60
0.27,3.47
-0.27,3.20
-0.40,3.60
-0.07,3.40
0.33,1.53
0.40,-1.00
0.80,-0.20
3.07,0.40
3.20,-0.27
3.80,0.00
4.20,0.00
3.67,0.13
3.40,0.00
2.73,0.07
2.73,0.07
2.93,3.93
3.33,4.33
4.13,3.13
4.13,3.53
3.33,3.60
2.93,3.60
2.80,3.27
3.07,3.40
3.53,3.60
3.93,3.47
3.80,0.60
3.40,-1.00
1.73,0.20
-0.67,0.20
-0.67,0.00
-0.40,-0.40
-0.47,-0.20
0.60,0.20
0.80,-0.27
0.80,0.13
0.00,1.00
-0.40,4.07
-0.67,3.80
0.00,3.00
0.40,3.60
0.40,3.60
0.33,3.80
-0.07,3.13
-0.20,3.47
-0.33,3.47
-0.07,3.07
0.20,-0.27
0.40,-0.20
2.00,0.47
3.33,-0.60
3.73,-0.20
4.00,0.27
4.00,-0.13
3.40,0.13
3.27,-0.27
2.67,0.00
3.07,1.20
3.40,4.60
3.67,3.93
4.27,2.87
3.60,3.53
3.07,3.60
2.80,3.47
2.93,3.13
3.33,3.53
3.53,3.53
3.80,3.40
3.80,0.00
3.67,-1.47
0.47,0.60
-0.73,0.33
-0.60,-0.33
-0.60,-0.33
0.00,0.33
0.67,0.20
0.80,0.00
0.53,0.13
-0.27,2.07
-0.40,4.33
-0.60,3.27
0.20,3.13
0.67,3.60
0.40,3.60
0.33,3.40
-0.20,3.27
-0.40,3.60
-0.27,3.47
0.27,2.47
0.40,-0.47
0.53,-0.60
2.40,0.47
2.93,-0.40
3.73,-0.13
4.00,0.07
4.00,0.20
3.40,-0.13
3.00,-0.13
2.60,0.00
2.73,2.40
3.40,4.47
3.80,3.40
4.27,3.20
3.60,3.60
3.07,3.60
2.80,3.47
2.93,3.20
3.33,3.60
3.87,3.53
4.00,2.07
3.40,-1.07
3.00,0.13
-0.20,0.20
-0.33,-0.47
-0.80,0.13
-0.80,-0.40
0.27,0.07
0.40,0.07
0.53,0.07
0.53,0.07
-0.40,3.53
-0.67,4.60
-0.20,2.87
0.33,3.27
0.40,3.60
0.40,3.60
0.20,3.40
-0.20,3.27
-0.27,3.53
-0.27,3.40
0.27,1.60
0.40,-1.07
1.00,-0.47
2.60,0.60
3.20,-0.20
4.00,-0.47
4.27,0.33
3.87,0.20
3.33,-0.27
2.80,0.00
2.67,0.67
3.07,3.73
3.53,4.00
4.20,3.20
3.93,3.60
3.40,3.60
3.07,3.60
2.67,3.20
2.93,3.47
3.33,3.60
3.87,3.40
3.87,0.47
3.40,-0.67
1.80,0.40
-0.60,-0.20
-0.60,-0.20
-0.60,-0.07
-0.60,-0.47
0.40,0.20
0.67,0.07
0.67,0.20
0.00,0.60
-0.40,4.33
-0.67,3.93
0.00,2.87
0.40,3.53
0.40,3.60
0.40,3.60
0.07,3.40
-0.20,3.53
-0.33,3.53
-0.20,3.40
0.40,0.47
0.67,-1.40
1.60,0.27
2.67,0.40
3.47,-0.47
4.00,-0.07
4.20,0.60
3.53,0.20
3.20,0.00
2.67,0.00
2.80,1.47
3.33,4.13
3.60,3.80
4.27,3.27
3.80,3.53
3.00,3.53
2.80,3.40
2.80,3.00
3.00,3.47
3.40,3.60
3.87,2.73
3.87,-0.20
3.20,-0.67
0.67,0.40
-0.80,0.00
-0.80,0.00
-0.80,-0.53
-0.13,0.00
0.80,0.00
0.80,-0.13
0.60,0.20
-0.20,2.07
-0.53,4.47
-0.53,3.40
0.27,2.93
0.40,3.60
0.40,3.60
0.40,3.60
-0.27,3.13
-0.40,3.53
-0.20,3.53
0.07,2.73
0.40,-1.00
0.67,-0.60
2.93,0.40
3.20,-0.27
3.93,0.07
4.20,0.07
3.80,0.13
3.40,0.00
3.07,-0.27
2.00,0.00
-0.20,2.87
-0.20,4.73
-0.07,3.07
-0.20,3.07
0.20,3.60
0.20,3.60
0.27,3.53
0.40,3.40
-0.20,3.60
-0.20,3.47
-0.20,1.67
-0.20,-1.00
0.07,0.20
0.07,0.20
0.20,-0.40
0.20,0.40
-0.07,-0.40
-0.07,0.00
-0.20,-0.13
0.07,-0.13
0.20,0.40
0.20,3.33
-0.20,4.40
0.20,3.07
0.33,3.20
-0.07,3.60
-0.07,3.60
-0.07,3.47
0.20,3.47
0.20,3.60
0.20,3.40
0.33,1.93
0.27,-1.20
0.27,-0.53
-0.67,0.47
-0.27,0.07
0.20,-0.53
0.20,0.00
0.40,0.40
0.27,-0.27
-0.20,0.00
-0.20,0.13
-0.33,4.20
-0.20,4.20
0.53,3.00
0.53,3.40
0.20,3.47
-0.07,3.60
-0.27,3.27
-0.27,3.40
-0.07,3.53
0.33,3.40
0.40,0.60
0.40,-1.00
0.13,0.00
