azRc1,elRc1
-0.01,-0.26
-0.01,-0.22
-0.01,-0.19
-0.01,-0.21
-0.01,-0.26
-0.01,-0.31
-0.01,-0.31
-0.01,-0.31
-0.01,-0.31
-0.01,-0.31
-0.01,-0.31
-0.01,-0.31
-0.01,-0.31
-0.01,-0.31
-0.01,-0.33
-0.01,-0.33
-0.01,-0.33
-0.01,-0.33
-0.01,-0.33
-0.01,-0.33
-0.01,-0.35
-0.01,-0.35
-0.01,-0.35
-0.01,-0.35
-0.01,-0.33
-0.01,-0.33
-0.01,-0.33
-0.01,-0.33
-0.01,-0.31
-0.01,-0.30
-0.01,-0.30
-0.01,-0.30
-0.01,-0.28
-0.01,-0.27
-0.01,-0.27
-0.01,-0.27
-0.01,-0.27
-0.01,-0.27
-0.01,-0.25
-0.01,-0.25
-0.01,-0.25
-0.01,-0.25
-0.01,-0.22
-0.01,-0.22
-0.01,-0.22
-0.01,-0.20
-0.01,-0.20
-0.01,-0.20
-0.01,-0.20
-0.01,-0.20
-0.01,-0.20
-0.01,-0.19
-0.01,-0.18
-0.01,-0.18
-0.01,-0.18
-0.01,-0.18
-0.01,-0.18
-0.01,-0.20
-0.01,-0.20
-0.01,-0.20
-0.01,-0.20
-0.01,-0.20
-0.01,-0.19
-0.01,-0.19
-0.01,-0.19
-0.01,-0.19
-0.01,-0.19
-0.01,-0.19
-0.01,-0.19
-0.01,-0.19
-0.01,-0.19
-0.01,-0.19
-0.01,-0.19
-0.01,-0.17
-0.01,-0.16
-0.01,-0.16
-0.01,-0.16
-0.01,-0.16
-0.01,-0.16
-0.01,-0.16
-0.01,-0.16
-0.01,-0.16
-0.01,-0.16
-0.01,-0.15
-0.01,-0.15
-0.01,-0.15
-0.01,-0.15
-0.01,-0.16
-0.01,-0.17
-0.01,-0.17
-0.01,-0.18
-0.01,-0.19
-0.01,-0.19
-0.01,-0.20
-0.01,-0.21
-0.01,-0.21
-0.01,-0.21
-0.01,-0.21
-0.01,-0.21
-0.01,-0.21
-0.01,-0.19
-0.01,-0.18
-0.01,-0.18
-0.01,-0.18
-0.01,-0.16
-0.01,-0.16
-0.01,-0.16
-0.01,-0.16
-0.01,-0.16
-0.01,-0.15
-0.01,-0.13
-0.01,-0.13
-0.01,-0.13
-0.01,-0.13
-0.01,-0.12
-0.01,-0.14
-0.01,-0.14
-0.01,-0.14
-0.01,-0.14
-0.01,-0.14
-0.01,-0.14
-0.01,-0.13
-0.01,-0.13
-0.01,-0.13
-0.01,-0.13
-0.01,-0.13
-0.01,-0.13
-0.01,-0.13
-0.01,-0.13
-0.01,-0.12
-0.01,-0.12
-0.01,-0.12
-0.01,-0.12
-0.01,-0.12
-0.01,-0.12
-0.01,-0.12
-0.01,-0.12
-0.01,-0.14
0.22,-0.16
0.32,-0.16
0.32,-0.17
0.32,-0.17
0.32,-0.17
0.32,-0.17
0.32,-0.16
0.32,-0.16
0.32,-0.16
0.32,-0.16
0.32,-0.14
0.32,-0.13
0.32,-0.12
0.32,-0.10
0.32,-0.10
0.32,-0.10
0.32,-0.09
0.32,-0.09
0.32,-0.11
0.32,-0.10
0.32,-0.11
0.32,-0.12
0.32,-0.11
0.32,-0.11
0.32,-0.11
0.32,-0.10
0.32,-0.10
0.32,-0.07
0.32,-0.07
0.32,-0.04
0.32,-0.04
0.32,-0.03
0.32,-0.03
0.32,-0.02
0.32,-0.01
0.32,-0.01
0.32,-0.00
0.32,0.00
0.32,0.01
0.32,0.02
0.32,0.05
0.32,0.07
0.32,0.10
0.32,0.12
0.30,0.13
0.29,0.14
0.29,0.15
0.29,0.16
0.30,0.16
0.30,0.14
0.30,0.13
0.30,0.14
0.30,0.14
0.30,0.15
0.30,0.15
0.30,0.17
0.30,0.05
0.28,-0.10
0.28,-0.26
0.28,-0.41
0.28,-0.41
0.28,-0.41
0.28,-0.41
0.28,-0.43
0.28,-0.60
0.28,-0.76
0.28,-0.77
0.28,-0.76
0.26,-0.88
0.25,-1.05
0.25,-1.05
0.25,-1.03
0.25,-1.03
0.25,-1.03
0.25,-1.20
0.25,-1.38
0.25,-1.38
0.24,-1.37
0.23,-1.39
0.23,-1.40
0.23,-1.57
0.23,-1.76
0.23,-1.76
0.23,-1.75
0.23,-1.74
0.23,-1.75
0.23,-1.95
0.23,-2.17
0.23,-2.18
0.23,-2.16
0.23,-2.12
0.23,-2.11
0.23,-2.11
0.23,-2.09
0.23,-2.28
0.23,-2.49
0.23,-2.49
0.23,-2.47
0.23,-2.46
0.25,-2.44
0.25,-2.41
0.26,-2.40
0.27,-2.61
0.27,-2.83
0.27,-2.82
0.27,-2.80
0.27,-2.80
0.27,-2.75
0.27,-2.73
0.26,-2.72
0.26,-2.71
0.26,-2.70
0.26,-2.70
0.29,-2.73
0.29,-2.73
0.46,-2.97
0.74,-3.20
1.06,-3.18
1.42,-3.15
1.80,-3.11
2.21,-3.09
2.66,-3.10
3.16,-3.08
3.71,-3.03
-3.08,-2.99
-6.24,-2.95
-5.03,-2.90
-2.98,-2.86
-0.68,-2.85
1.51,-2.81
4.18,-3.03
8.06,-3.29
13.07,-3.29
11.06,-3.50
7.42,-3.88
5.92,-4.23
-0.16,-4.55
0.67,-4.71
4.48,-4.69
4.12,-4.69
4.41,-4.67
4.08,-4.60
2.14,-4.51
3.19,-4.33
3.43,-4.02
-3.76,-3.68
-7.16,-3.29
-10.52,-2.91
-14.83,-2.70
-13.91,-2.69
-13.43,-2.70
-12.16,-2.45
-11.58,-2.20
-11.23,-2.18
-10.50,-2.18
-9.84,-2.21
-9.25,-2.24
-8.71,-2.27
-8.24,-2.33
-7.80,-2.38
-7.41,-2.41
-7.04,-2.40
-6.70,-2.42
-6.39,-2.46
-6.08,-2.50
-5.89,-2.28
-5.88,-1.86
-5.87,-1.45
-5.86,-1.21
-5.86,-1.20
-5.86,-1.21
-5.86,-1.20
-5.87,-1.21
-5.87,-1.23
-5.87,-1.25
-5.85,-1.27
-5.85,-1.33
-5.85,-1.37
-5.85,-1.17
-5.83,-0.77
-5.84,-0.38
-5.83,-0.17
-5.82,-0.16
-5.82,-0.18
-5.81,-0.20
