r2lora voltage, r2lora current, tinygs voltage, tinygs current 
5.020, 0.0490, 5.000, 0.1280
5.020, 0.0490, 5.000, 0.1280
5.010, 0.0970, 5.000, 0.1360
5.010, 0.0970, 5.000, 0.1360
5.020, 0.0500, 5.010, 0.1270
5.020, 0.0600, 5.010, 0.1280
5.020, 0.0620, 5.000, 0.1360
5.020, 0.0600, 5.000, 0.1340
5.010, 0.0750, 5.000, 0.1290
5.020, 0.0650, 5.000, 0.1300
5.020, 0.0610, 5.000, 0.1290
5.020, 0.0500, 5.000, 0.1290
5.020, 0.0490, 5.000, 0.1300
5.020, 0.0500, 5.000, 0.1390
5.010, 0.0880, 5.000, 0.1300
5.020, 0.0490, 5.000, 0.1290
5.020, 0.0590, 5.000, 0.1420
5.020, 0.0500, 5.000, 0.1410
5.020, 0.0500, 5.000, 0.1340
5.010, 0.0760, 5.000, 0.1420
5.020, 0.0600, 5.000, 0.1380
5.020, 0.0540, 4.990, 0.1510
5.010, 0.0690, 5.000, 0.1300
5.010, 0.0820, 5.000, 0.1390
5.020, 0.0600, 5.000, 0.1300
5.020, 0.0520, 5.000, 0.1290
5.020, 0.0590, 5.000, 0.1280
5.020, 0.0740, 5.000, 0.1290
5.020, 0.0490, 5.000, 0.1290
5.020, 0.0500, 5.000, 0.1310
5.020, 0.0500, 5.000, 0.1400
5.020, 0.0500, 4.990, 0.1580
5.010, 0.0880, 5.000, 0.1300
5.020, 0.0600, 5.000, 0.1420
5.020, 0.0500, 4.980, 0.1720
5.020, 0.0500, 5.000, 0.1350
5.020, 0.0620, 5.000, 0.1460
5.020, 0.0590, 5.000, 0.1380
