ff_4mhz_2,ff_4mhz_4
-0.13,0.00
0.07,0.00
1.87,0.07
3.07,-0.20
3.93,0.07
2.80,0.00
3.27,0.07
3.67,0.07
2.93,0.00
3.27,0.00
3.47,2.00
3.13,3.53
3.33,3.73
3.33,3.47
3.20,3.47
3.33,3.47
3.33,3.47
3.20,3.47
3.33,3.27
3.20,-0.27
3.00,-0.07
3.33,0.13
3.20,0.00
3.27,0.00
3.33,0.00
3.20,0.00
3.27,0.00
3.27,2.93
3.53,3.20
3.20,3.33
3.20,3.60
3.33,3.53
3.27,3.47
3.33,3.53
3.40,3.53
3.33,1.07
3.20,-0.07
3.33,0.00
3.40,-0.07
3.27,0.00
3.27,0.07
3.33,0.00
3.20,0.00
3.20,0.47
3.27,3.93
3.33,3.53
3.20,3.33
3.33,3.47
3.27,3.53
3.20,3.47
3.33,3.47
3.20,3.47
3.27,0.47
2.93,0.27
3.33,0.07
3.33,0.07
3.20,0.00
3.33,0.00
3.27,0.00
3.27,0.00
3.27,1.53
3.47,3.27
3.27,3.53
3.20,3.47
3.33,3.47
3.33,3.47
3.27,3.53
3.27,3.53
3.27,2.53
3.33,-0.47
3.13,0.00
3.40,-0.07
3.27,-0.13
3.20,0.00
3.40,0.00
3.20,0.00
3.27,0.00
3.20,3.53
3.53,3.20
3.20,3.47
3.27,3.47
3.33,3.53
3.20,3.47
3.33,3.53
3.27,3.53
3.27,1.80
3.07,-0.07
3.27,-0.13
3.40,0.07
3.20,0.07
3.20,0.00
3.33,0.07
3.20,0.07
3.27,0.00
3.27,3.93
3.33,3.27
3.20,3.40
3.33,3.53
3.27,3.53
3.27,3.47
3.33,3.47
3.27,3.47
3.33,-0.47
3.13,0.20
3.33,0.07
3.33,0.00
3.20,0.07
3.33,0.00
3.33,0.00
3.20,0.00
3.27,1.93
3.33,3.53
3.27,3.60
3.20,3.33
3.40,3.40
3.20,3.47
3.27,3.47
3.40,3.53
3.20,3.33
3.20,-0.33
3.13,0.07
3.33,0.13
3.27,-0.13
3.27,0.00
3.33,0.00
3.20,0.00
3.27,0.00
3.13,3.07
3.47,3.20
3.20,3.53
3.27,3.53
3.33,3.53
3.27,3.47
3.27,3.60
3.27,3.47
3.20,0.80
3.33,0.07
3.33,-0.07
3.27,-0.20
3.20,0.07
3.27,0.00
3.27,0.00
3.27,0.00
3.27,0.40
3.27,3.93
3.33,3.53
3.20,3.40
3.33,3.47
3.33,3.53
3.20,3.53
3.33,3.47
3.27,3.53
3.40,0.33
2.73,0.47
3.40,-0.07
3.33,-0.07
3.20,-0.13
3.40,0.07
3.27,0.00
3.20,0.00
3.27,1.53
3.47,3.40
3.20,3.60
3.27,3.40
3.33,3.53
3.20,3.53
3.20,3.53
3.33,3.53
3.27,2.53
3.33,-0.73
3.13,0.20
3.27,0.07
3.33,0.07
3.27,0.00
3.40,0.00
3.27,0.00
3.27,0.00
3.20,3.47
3.40,3.20
3.20,3.40
3.27,3.47
3.33,3.53
3.20,3.47
3.27,3.53
3.40,3.47
3.27,1.47
3.20,0.20
3.27,-0.20
3.33,-0.07
3.27,0.07
3.33,0.07
3.20,0.00
3.27,0.00
3.27,0.00
3.27,4.07
3.33,3.40
3.20,3.47
3.27,3.47
3.40,3.53
3.27,3.47
3.33,3.47
3.33,3.47
3.33,-0.60
3.07,0.27
3.40,-0.27
3.33,-0.13
3.07,0.07
3.33,0.07
3.33,0.07
3.20,0.00
3.33,2.00
3.47,3.67
3.33,3.60
3.20,3.60
3.40,3.47
3.27,3.47
3.27,3.53
3.27,3.53
3.33,3.20
3.27,-0.27
3.33,-0.13
3.27,0.07
3.20,0.00
3.27,0.00
3.27,0.00
3.33,0.00
3.20,0.07
3.20,3.00
3.53,3.33
3.20,3.40
3.27,3.60
3.40,3.53
3.27,3.47
3.27,3.47
3.40,3.53
3.33,1.20
3.13,-0.27
3.33,-0.20
3.40,0.20
3.07,0.00
3.33,0.07
3.40,0.00
3.20,0.00
3.33,0.47
3.27,3.93
3.33,3.53
3.20,3.47
3.33,3.47
3.33,3.47
3.20,3.47
3.40,3.47
3.27,3.47
3.40,0.47
3.20,0.27
3.40,0.07
3.33,-0.07
3.20,0.00
3.33,0.00
3.27,0.00
3.20,0.00
3.27,1.53
3.47,3.40
3.27,3.60
3.27,3.53
3.40,3.47
3.27,3.47
3.20,3.47
3.40,3.47
3.27,2.53
3.40,-0.67
3.13,0.20
3.40,-0.07
3.27,-0.13
1.13,0.00
-0.87,-0.07
0.13,0.07
0.33,0.00
-0.67,3.47
0.53,3.33
0.00,3.53
-0.33,3.47
0.33,3.53
-0.07,3.47
-0.20,3.47
0.27,3.60
-0.13,1.53
-0.13,0.27
0.27,0.00
-0.07,-0.07
-0.20,0.07
0.20,0.07
-0.20,0.00
-0.07,0.00
0.20,0.00
-0.07,3.93
0.13,3.40
-0.07,3.40
-0.07,3.53
0.07,3.60
-0.20,3.47
-0.07,3.53
0.07,3.53
0.20,-0.47
-0.27,0.40
0.20,-0.13
0.20,0.00
-0.20,-0.13
0.07,0.07
-0.07,0.07
-0.20,0.00
0.07,2.00
0.13,3.53
-0.07,3.60
-0.20,3.47
0.20,3.47
-0.20,3.47
-0.07,3.53
0.20,3.60
-0.07,3.33
0.13,-0.33
-0.07,0.07
0.07,0.13
-0.07,0.07
-0.07,0.00
0.20,0.07
-0.07,0.00
-0.07,0.00
-0.07,3.07
0.27,3.20
-0.20,3.53
-0.07,3.53
-0.07,3.53
-0.20,3.53
-0.07,3.47
0.07,3.60
0.07,1.13
0.07,-0.13
0.07,0.00
0.20,-0.07
-0.07,0.00
0.07,0.00
0.20,0.00
-0.20,0.00
-0.07,0.47
0.00,3.93
0.13,3.53
-0.07,3.47
0.07,3.47
0.07,3.60
-0.07,3.53
0.07,3.53
0.07,3.53
0.20,0.33
-0.20,0.27
0.07,0.07
-0.07,0.07
-0.07,0.07
0.07,0.07
-0.07,0.00
-0.20,0.07
0.07,1.53
0.13,3.40
0.07,3.60
-0.20,3.53
0.20,3.53
-0.07,3.60
-0.20,3.53
0.20,3.53
0.07,3.60
0.07,-0.67
-0.13,0.20
0.20,0.07
-0.07,0.07
-0.07,0.00
0.20,0.07
-0.07,0.00
0.07,0.00
0.07,2.47
0.27,3.20
-0.20,3.53
-0.07,3.53
0.20,3.53
-0.20,3.53
0.07,3.47
0.07,3.53
0.07,1.80
-0.07,0.07
0.07,0.00
0.20,0.13
-0.20,0.00
0.07,0.07
0.20,0.00
-0.07,0.00
0.20,0.00
-0.07,4.07
0.00,3.40
-0.07,3.53
0.07,3.47
0.07,3.60
-0.13,2.27
