ff_2mhz_2,ff_2mhz_4
-0.27,-0.13
2.13,-0.27
3.33,-0.13
3.40,-0.13
3.00,-0.27
3.00,-0.13
3.20,-0.13
3.13,-0.13
3.20,-0.13
3.13,2.73
3.27,3.07
3.27,3.33
3.20,3.40
3.20,3.27
3.20,3.40
3.20,3.40
3.20,3.40
3.27,2.53
2.93,-0.53
3.13,-0.07
3.20,-0.27
3.20,-0.13
3.20,0.00
3.27,0.00
3.20,-0.13
3.20,-0.27
3.13,3.80
3.07,3.33
3.27,3.40
3.20,3.40
3.20,3.40
3.20,3.40
3.20,3.40
3.20,3.40
3.13,1.13
3.20,-0.07
3.07,-0.27
3.20,-0.13
3.20,-0.13
3.20,-0.13
3.20,-0.27
3.20,-0.13
3.07,1.40
3.13,3.40
3.27,3.20
3.20,3.40
3.27,3.27
3.27,3.40
3.20,3.40
3.27,3.40
3.20,3.40
3.00,0.00
3.27,-0.27
3.07,-0.13
3.27,-0.27
3.27,0.00
3.20,-0.27
3.20,-0.13
3.20,0.00
3.07,2.93
3.13,3.00
3.13,3.47
3.07,3.47
3.20,3.40
3.27,3.40
3.20,3.40
3.20,3.40
3.27,2.67
2.93,-0.53
3.13,-0.20
3.27,-0.13
3.07,-0.13
3.20,-0.27
3.20,-0.13
3.20,-0.27
3.20,-0.13
3.13,3.80
3.07,3.33
3.27,3.27
3.20,3.40
3.07,3.40
3.20,3.27
3.20,3.40
3.20,3.40
3.07,1.13
3.20,-0.13
2.93,-0.27
3.20,0.00
3.20,-0.13
3.20,0.00
3.20,-0.27
3.20,-0.13
3.20,1.27
3.13,3.47
3.27,3.20
3.20,3.27
3.13,3.40
3.20,3.40
3.20,3.40
3.20,3.40
3.20,3.40
3.00,0.00
3.27,-0.20
3.07,-0.13
3.27,-0.27
3.27,-0.27
3.20,-0.13
3.07,-0.13
3.20,-0.27
2.93,2.80
3.27,3.00
3.20,3.33
3.07,3.27
3.20,3.27
3.20,3.27
3.20,3.40
3.20,3.40
3.27,2.67
2.93,-0.53
3.07,-0.13
3.20,-0.27
3.20,-0.27
3.20,0.00
3.20,-0.13
3.20,-0.27
3.20,-0.27
3.00,3.67
3.20,3.33
3.27,3.13
3.20,3.40
3.20,3.40
3.20,3.40
3.20,3.27
3.20,3.40
3.07,0.93
3.27,-0.13
3.20,-0.27
3.20,-0.27
3.20,-0.13
3.20,-0.13
3.20,-0.27
3.20,-0.27
3.07,1.40
3.00,3.33
3.27,3.20
3.07,3.40
3.33,3.40
3.20,3.40
3.20,3.40
3.20,3.40
3.20,3.40
2.87,-0.07
3.20,-0.33
3.13,-0.13
3.07,-0.27
3.27,-0.13
3.07,-0.27
3.20,-0.13
3.20,-0.27
3.07,2.73
3.13,3.20
3.27,3.33
3.13,3.27
3.20,3.27
3.20,3.40
3.20,3.40
3.20,3.40
3.27,2.67
2.93,-0.53
3.13,-0.07
3.20,-0.27
3.20,-0.13
3.20,-0.27
3.20,-0.13
3.20,-0.27
3.20,-0.13
3.13,3.73
3.07,3.33
3.13,3.13
3.20,3.40
3.20,3.27
3.20,3.40
3.20,3.40
3.20,3.40
3.13,0.73
3.20,-0.13
3.20,-0.27
3.20,-0.13
3.20,-0.27
