rasp_fsk_ff_8mhz_2,rasp_fsk_ff_8mhz_4
4.27,-0.27
3.13,0.00
3.27,-0.13
3.13,-0.13
3.13,-0.13
3.40,-0.13
3.40,-0.13
3.27,-0.13
3.27,-0.13
3.27,-0.13
3.13,-0.13
3.27,-0.13
3.27,-0.13
3.27,-0.13
3.13,-0.13
3.27,-0.13
3.27,-0.13
3.40,0.00
3.13,-0.13
3.27,-0.13
3.40,-0.13
3.40,-0.13
3.27,-0.13
3.27,-0.13
3.13,-0.13
3.13,-0.13
3.13,-0.13
3.40,-0.13
3.13,-0.13
3.13,-0.13
3.13,-0.13
3.27,-0.13
3.27,-0.13
3.27,0.00
3.13,-0.13
3.13,-0.13
3.00,-0.13
3.40,-0.13
3.27,-0.13
3.13,-0.13
3.13,-0.13
3.13,-0.13
3.27,-0.13
3.13,-0.13
3.13,-0.13
3.27,-0.13
3.27,-0.13
3.27,-0.13
3.27,-0.13
3.27,0.00
3.00,-0.13
3.27,-0.13
3.27,-0.13
3.27,-0.13
3.27,-0.13
3.13,-0.13
3.13,0.73
3.40,3.93
3.27,3.40
3.27,3.20
3.13,3.33
3.00,-0.07
3.33,-0.40
3.27,0.07
3.13,-0.27
3.40,2.13
3.07,3.60
3.20,3.13
3.27,3.33
3.00,2.87
3.20,-0.60
3.13,-0.07
3.13,-0.07
3.27,-0.13
3.40,4.20
3.27,3.40
3.13,3.20
3.13,3.53
3.13,-0.13
3.20,-0.27
3.27,0.07
3.13,-0.27
3.40,2.00
3.07,3.60
3.33,3.27
3.40,3.40
3.13,2.73
3.20,-0.60
3.27,-0.07
3.27,0.00
3.27,-0.20
3.27,3.33
3.13,3.40
3.13,3.00
3.13,3.47
3.13,0.60
3.20,-0.27
3.13,0.07
3.00,-0.47
3.27,2.13
3.20,3.67
3.33,3.27
3.40,3.40
3.13,2.87
3.20,-0.80
3.13,-0.27
3.27,-0.07
3.27,-0.20
3.27,3.20
3.13,3.40
3.13,3.00
3.27,3.47
3.00,1.40
3.33,-0.40
3.13,0.07
3.13,-0.33
3.40,1.53
3.20,3.67
3.27,3.27
3.13,3.40
3.00,2.80
3.00,-0.73
3.20,-0.13
3.13,-0.07
3.13,-0.20
3.13,-0.07
3.27,-0.27
3.27,-0.13
3.00,0.00
3.27,-0.13
3.13,-0.13
3.27,-0.13
3.13,-0.13
3.13,-0.13
3.13,-0.13
3.13,-0.13
3.13,-0.13
3.27,0.00
3.13,-0.13
3.13,-0.13
3.13,-0.13
3.27,-0.13
3.13,-0.13
3.27,-0.13
3.27,-0.13
3.13,-0.13
3.00,-0.13
3.13,-0.13
3.13,-0.13
3.13,0.00
3.13,-0.13
3.13,-0.13
3.13,-0.13
3.27,-0.13
3.27,-0.13
3.13,-0.13
3.13,-0.13
3.27,-0.27
3.13,0.00
3.13,-0.13
3.27,-0.13
3.27,-0.13
3.27,-0.13
3.27,-0.13
3.13,-0.13
3.27,-0.13
3.00,0.00
3.27,-0.13
3.27,-0.13
3.27,0.00
3.40,-0.27
3.27,-0.13
3.27,-0.27
3.00,0.00
3.13,-0.27
3.27,-0.13
3.13,-0.13
3.13,0.00
3.27,-0.13
3.27,-0.27
3.13,-0.13
3.27,-0.27
3.13,0.00
3.27,0.00
3.13,0.00
3.13,0.00
3.13,0.00
3.13,-0.13
3.13,-0.13
3.13,0.00
3.13,-0.27
3.27,-0.27
3.27,0.00
3.40,0.00
3.13,-0.13
3.00,-0.13
3.13,-0.13
3.00,-0.27
3.13,-0.13
3.13,-0.13
3.13,-0.13
3.13,-0.13
3.00,-0.27
3.00,-0.27
3.27,-0.13
3.27,-0.13
3.27,-0.13
3.13,0.00
3.27,-0.27
3.13,-0.13
3.13,-0.13
3.13,-0.13
3.27,-0.13
3.27,-0.13
3.00,-0.13
3.00,-0.27
3.27,-0.13
3.13,-0.13
3.13,-0.13
3.13,-0.13
3.00,-0.13
3.13,-0.13
3.27,-0.13
3.27,-0.27
3.13,-0.13
3.13,0.00
3.27,-0.13
3.13,-0.13
3.27,-0.13
3.13,-0.13
3.27,-0.13
3.13,-0.27
3.13,-0.13
3.00,-0.13
3.27,0.60
3.07,3.73
3.13,3.33
3.27,3.13
3.13,3.47
3.00,0.00
3.33,-0.27
3.13,0.20
3.40,-0.33
3.27,2.73
3.20,3.53
3.20,3.00
3.27,3.53
3.00,1.33
3.20,-0.40
3.13,-0.20
3.00,-0.27
3.27,0.60
3.20,4.07
3.27,3.27
3.13,3.20
3.13,3.47
3.00,0.00
3.33,-0.27
3.27,0.20
3.13,-0.27
3.27,2.13
3.07,3.47
3.13,3.13
3.27,3.33
3.13,1.93
3.20,-0.53
3.07,-0.07
3.27,-0.20
3.27,0.47
3.27,3.87
3.27,3.27
3.27,3.13
3.13,3.60
3.13,0.07
3.33,-0.40
3.13,0.00
3.13,-0.27
3.40,2.07
2.93,3.47
3.13,3.13
3.13,3.33
3.00,2.73
3.20,-0.53
3.27,-0.20
3.27,-0.07
3.27,-0.27
3.27,3.93
3.33,3.33
3.13,3.33
3.13,3.60
3.00,0.07
3.20,-0.33
3.13,0.07
3.13,-0.40
3.40,2.13
3.07,3.67
3.27,3.20
3.27,3.40
3.13,2.87
3.20,-0.53
3.27,-0.20
3.27,-0.13
3.13,-0.27
3.13,-0.13
-0.20,-0.20
0.00,0.27
-0.13,-0.27
-0.20,-0.13
-0.13,-0.13
-0.13,-0.13
-0.20,0.00
-0.07,2.07
-0.27,3.67
-0.13,3.27
-0.27,3.33
-0.20,2.87
0.00,-0.73
-0.27,-0.27
-0.20,-0.07
-0.13,-0.27
-0.07,3.40
-0.40,3.47
-0.33,3.07
-0.13,3.47
-0.20,1.33
0.07,-0.47
-0.20,0.07
-0.20,-0.20
-0.07,1.40
-0.27,3.73
-0.07,3.40
-0.20,3.40
-0.13,2.87
-0.33,-0.87
-0.27,-0.13
-0.13,-0.07
-0.13,-0.27
-0.13,3.47
-0.27,3.33
-0.27,3.07
-0.07,3.53
-0.20,1.27
-0.07,-0.40
-0.27,-0.07
-0.20,-0.20
-0.07,0.73
-0.27,3.80
-0.13,3.13
-0.27,3.13
-0.20,3.27
-0.20,-0.73
-0.27,-0.27
-0.13,-0.07
-0.13,-0.40
-0.20,3.47
-0.20,3.47
-0.27,3.07
-0.13,3.53
-0.20,1.27
-0.20,-0.53
-0.33,-0.13
-0.20,-0.20
-0.13,0.73
-0.27,3.80
-0.27,3.33
-0.27,3.27
-0.20,3.40
-0.33,-0.00
-0.20,-0.27
-0.13,0.07
-0.13,-0.27
-0.13,2.60
-0.20,3.47
-0.27,3.13
-0.13,3.53
-0.20,1.27
0.00,-0.47
-0.33,-0.07
-0.13,-0.33
-0.13,-0.13
-0.13,-0.13
3.27,0.27
3.00,-0.80
3.13,0.00
3.13,-0.13
3.27,-0.13
3.13,-0.27
3.27,-0.27
3.27,0.00
3.00,-0.27
3.40,-0.27
3.13,-0.27
3.13,-0.27
3.00,0.00
3.00,-0.13
3.13,-0.13
3.13,-0.27
3.27,-0.27
3.00,-0.27
2.13,-0.13
